Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 10;;;;;;;;;;;;
Czas: 1669.74;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 10;;;;gêstoœæ;iloœæ wierzcho³ków;10;20;50;100;200;500;1000
Czas: 1565.14;;;;20;czas [ns];1666.74;6209.98;24706.8;45790.5;141989;788926;2779970
Gestosc: 99 Wierzcholki: 10;;;;60;;1565.14;4225.3;26099.2;47043.2;143326;765400;2752350
Czas: 1669.74;;;;99;;1669.74;6209.68;24706.8;45790.5;141989;788926;2779970
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 20;;;;;;;;;;;;
Czas: 6209.68;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 20;;;;;;;;;;;;
Czas: 4225.3;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 20;;;;;;;;;;;;
Czas: 6209.68;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 50;;;;;;;;;;;;
Czas: 24706.8;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 50;;;;;;;;;;;;
Czas: 26099.2;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 50;;;;;;;;;;;;
Czas: 24706.8;;;;;;;;;;;;
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 100;;;;;;;;;;;;
Czas: 45790.5;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 100;;;;;;;;;;;;
Czas: 47043.2;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 100;;;;;;;;;;;;
Czas: 45790.5;;;;;;;;;;;;
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 200;;;;;;;;;;;;
Czas: 141989;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 200;;;;;;;;;;;;
Czas: 143326;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 200;;;;;;;;;;;;
Czas: 141989;;;;;;;;;;;;
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 500;;;;;;;;;;;;
Czas: 788926;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 500;;;;;;;;;;;;
Czas: 765400;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 500;;;;;;;;;;;;
Czas: 788926;;;;;;;;;;;;
;;;;;;;;;;;;
Pomiary Prim;;;;;;;;;;;;
;;;;;;;;;;;;
Gestosc: 20 Wierzcholki: 1000;;;;;;;;;;;;
Czas: 2.77997e+06;;;;;;;;;;;;
Gestosc: 60 Wierzcholki: 1000;;;;;;;;;;;;
Czas: 2.75235e+06;;;;;;;;;;;;
Gestosc: 99 Wierzcholki: 1000;;;;;;;;;;;;
Czas: 2.77997e+06;;;;;;;;;;;;
